Sample Name,,,,,,,,,,,,,,,,,,,,
Raw File Name,"E:\Data\QExactive\thermo_collaboration\stds1,raw",,,,,,,,,,,,,,,,,,,
Config File Name,"Z:\StdMix1_Jun2011,csv",,,,,,,,,,,,,,,,,,,
Laboratory,,,,,,,,,,,,,,,,,,,,
Acquisition Start Time,01/08/2012 13:26:53,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Peak Num,Index,Compound Name,Formula,Polarity,Compound Info,Detected m/z,Delta (ppm),Expected RT,Expected RT,Actual RT,Actual RT,Adduct1 H+,Adduct2 NH4+,Adduct3 Na+,Frag1,Realm/z,Frag2,Real m/z, Frag3, Real m/z
37,38,Glycine,C2H5NO2,+,notPAG,"76,03931","0,02",1230,"20,5","1092,6","18,21",16112013,-,-,-,-,-,-,-,-
30,31,beta-Alanine,C3H7NO2,+,,"90,05491","-0,51","1110,6","18,51","1128,6","18,81",74121728,-,-,-,-,-,-,-,-
9,10,Glycerol,C3H8O3,+,,"93,05459","-0,35",642,"10,7","591,6","9,86",3910894,-,-,-,-,-,-,-,-
33,34,L-Serine,C3H7NO3,+,,"106,04978","-0,83","1153,2","19,22","1087,8","18,13",49730985,-,-,-,-,-,-,-,-
5,6,Phenylhydrazine,C6H8N2,+,,"109,07609","0,58","363,6","6,06","367,2","6,12",1245409,-,-,-,-,-,-,-,-
25,26,Creatinine,C4H7N3O,+,,"114,06607","-1,03","1031,4","17,19","1066,2","17,77",549892598,-,-,-,-,-,-,-,-
21,22,L-Proline,C5H9NO2,+,,"116,07049","-1,01","985,8","16,43","922,8","15,38",334940683,-,-,-,-,-,-,-,-
19,20,L-Valine,C5H11NO2,+,,"118,08609","-1,4",909,"15,15","882,6","14,71",265452972,-,-,-,-,-,-,-,-
27,28,L-Threonine,C4H9NO3,+,,"120,0654",-1,"1081,2","18,02","1022,4","17,04",113190653,-,-,-,-,-,-,-,-
7,8,Nicotinate,C6H5NO2,+,,"124,03918","-1,03","475,2","7,92","476,4","7,94",810244959,-,-,-,-,-,-,-,-
23,24,Taurine,C2H7NO3S,+,,"126,02182","-0,95","1044,6","17,41","931,2","15,52",31903220,-,-,-,-,-,-,-,-
1,2,Imidazole-4-acetate,C5H6N2O2,+,Care:thymidine fragment,"127,05005","-1,22","982,2","16,37","1000,2","16,67",144409711,-,-,-,-,-,-,-,-
24,25,trans-4-Hydroxy-L-proline,C5H9NO3,+,,"132,06535","-1,26",1041,"17,35","963,6","16,06",208776750,-,-,-,-,-,-,-,-
12,13,L-Leucine,C6H13NO2,+,,"132,10175","-1,21","788,4","13,14","782,4","13,04",287342605,-,-,-,-,-,-,-,-
